Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"75074-1","Star Wars","Microfighters",2015,"Snowspeeder Microfighter",1,97,8.99,9.99,12.99,9.99,5702015349109,673419230278,14.097,12.192,4.5974,0.09525432,"",1,1,0,,,,,,,,,13.5400,8.8000,"01/01/2015","31/12/2016"
"75075-1","Star Wars","Microfighters",2015,"AT-AT Microfighter",1,88,8.99,9.99,12.99,9.99,5702015349116,673419230285,14.097,12.192,4.5974,0.0908,"",1,1,0,,,,,,,,,15.7500,8.2600,"01/01/2015","31/12/2016"
"75093-1","Star Wars","Episode VI",2015,"Death Star Final Duel",5,724,69.99,79.99,99.99,89.99,5702015352161,673419231329,48.006,28.194,7.3914,1.238306,"",1,1,0,,,,,,,,,92.0100,67.0400,"01/06/2015","31/12/2016"
"75099-1","Star Wars","The Force Awakens",2015,"Rey's Speeder",2,193,19.99,19.99,24.99,26.99,5702015352611,673419231572,26.2128,14.097,4.8006,0.2313319,"",1,1,0,,,,,,,,,23.9900,15.2600,"04/09/2015","31/12/2017"
"75136-1","Star Wars","Episode IV",2016,"Droid Escape Pod",4,197,19.99,24.99,29.99,29.99,5702015591775,673419247511,26.2128,19.1008,4.5974,0.3084426,"",1,1,0,,,,,,,,,31.3000,20.2900,"01/01/2016","31/12/2016"
"75137-1","Star Wars","Episode V",2016,"Carbon-Freezing Chamber",4,231,19.99,24.99,29.99,29.99,5702015591829,673419247764,26.2128,19.1008,6.096,0.3810173,"",1,1,0,,,,,,,,,43.3300,29.2000,"01/01/2016","31/12/2017"
"75138-1","Star Wars","Episode V",2016,"Hoth Attack",4,233,19.99,24.99,29.99,29.99,,673419247795,26.2128,19.1008,6.096,0.3810173,"",1,1,0,,,,,,,,,36.6600,29.4700,"01/01/2016","31/12/2016"
"75162-1","Star Wars","Microfighters",2017,"Y-wing Microfighter",1,90,8.99,9.99,12.99,9.99,,673419265218,14.097,12.192,4.5974,0.08618248,"",1,1,0,,,,,,,,,15.1400,7.4100,"01/01/2017","31/12/2017"
"75176-1","Star Wars","The Last Jedi",2017,"Resistance Transport Pod",3,294,39.99,29.99,39.99,39.99,5702015868495,673419266918,35.4076,19.1008,5.8928,0.4309124,"",1,1,0,,,,,,,,,33.4300,24.3000,"01/09/2017","31/12/2018"
"75187-1","Star Wars","The Last Jedi",2017,"BB-8",1,1106,84.99,99.99,129.99,99.99,5702015869881,673419267601,35.4076,37.7952,9.398,1.342632,"",1,1,0,,,,,,,,,123.7200,84.8800,"01/09/2017","31/07/2019"
"75228-1","Star Wars","MicroFighters",2019,"Escape Pod vs. Dewback Microfighters",3,177,17.99,19.99,24.99,19.99,5702016370379,673419303804,26.2,14.1,4.8,0.2,"",1,1,0,,,,,,,,,32.0100,35.0000,"01/01/2019","31/12/2019"
"75229-1","Star Wars","Episode IV",2019,"Death Star Escape",4,329,24.99,29.99,39.99,29.99,5702016370386,673419303811,26.2,19.1,7.2,0.44,"",1,1,0,,,,,,,,,38.7500,32.8700,"01/01/2019","31/12/2019"
"75243-1","Star Wars","Episode V",2019,"Slave I - 20th Anniversary Edition",6,1007,109.99,119.99,159.99,116.97,5702016370706,673419304139,48,37.8,7.1,,"",1,1,0,,,,,,,,,182.7900,135.3800,"01/04/2019","31/12/2020"
"75244-1","Star Wars","Episode IV",2019,"Tantive IV",6,1768,179.99,199.99,269.99,194.95,5702016371109,,58.2,37.8,10.3,,"",1,1,0,,,,,,,,,251.4300,203.1700,"04/05/2019","31/12/2020"
"75248-1","Star Wars","The Rise of Skywalker",2019,"Resistance A-wing Starfighter",2,269,24.99,29.99,39.99,29.23,5702016370737,,26.2,19.1,7.2,,"",1,1,0,,,,,,,,,32.5400,25.8700,"04/10/2019","31/12/2020"
"75254-1","Star Wars","The Mandalorian",2019,"AT-ST Raider",4,540,49.99,49.99,69.99,59.99,5702016370768,673419304399,26.2,38.2,7.1,,"",1,1,0,,,,,,,,,59.6500,31.3500,"04/10/2019","31/12/2021"
"75255-1","Star Wars","Episode III",2019,"Yoda",1,1771,89.99,99.99,139.99,99.99,5702016370775,673419304405,35.4,37.8,11.8,,"",1,1,0,,,,,,,,,87.1900,60.0000,"04/10/2019","31/12/2022"
"75263-1","Star Wars","Microfighters",2020,"Resistance Y-wing Microfighter",1,86,8.99,9.99,13.99,9.74,5702016617092,673419317207,14.1,12.2,4.6,0.09,"",1,1,0,,,,,,,,,10.1500,9.0000,"01/01/2020","31/12/2020"
